BNK_ID,BNK_BHM_DC_CDE,BNK_BHM_DC_NME,BNK_BHM_TLK_CDE,BNK_BHM_TLK_NME,BNK_NME_EN,BNK_BRNCH_CDE,BNK_BRNCH_NME,BNK_IFSC_CDE,BNK_VIFSC_CDE
6516,23,HASSAN,4,Hassan,CBI,6516,HASSAN HASSAN ( KARNATAKA ),CBIN0283713,CBIN0283713000
6517,11,HAVERI                                            ,4,Haveri,CBI,6517,GUTTAL GUTTAL,CBIN0280864,CBIN0280864000
6518,11,HAVERI                                            ,4,Haveri,CBI,6518,HAVERI HAVERI,CBIN0284602,CBIN0284602000
6519,11,HAVERI                                            ,7,Ranebennur,CBI,6519,RANEBE RANEBENNUR (KARNATAKA),CBIN0283373,CBIN0283373000
6520,25,KODAGU                                            ,2,somawarpet,CBI,6520,KODAGA KODAGARAHALLI,CBIN0281985,CBIN0281985000
6521,25,KODAGU                                            ,2,somawarpet,CBI,6521,KUSHYD KUSHALNAGAR,CBIN0284376,CBIN0284376000
6522,25,KODAGU                                            ,1,Madikeri,CBI,6522,MADIKE MADIKERE,CBIN0284240,CBIN0284240000
6523,19,KOLAR                                             ,8,KOLAR,CBI,6523,KOLARY KOLAR,CBIN0284483,CBIN0284483000
6524,7,KOPPAL                                            ,3,Gangavathi,CBI,6524,GANGAV GANGAVATHI ( KARNATAKA ),CBIN0283552,CBIN0283552000
6525,7,KOPPAL                                            ,4,koppal,CBI,6525,KOPPAL KOPPAL KARNATAKA,CBIN0283567,CBIN0283567000
6526,22,MANDYA                                            ,7,Malavalli,CBI,6526,HALAGU HALAGUR,CBIN0280857,CBIN0280857000
6527,22,MANDYA                                            ,5,mandya,CBI,6527,MANDYA MANDYA  KARNATAKA,CBIN0283695,CBIN0283695000
6528,26,MYSORE                                            ,4,Mysore,CBI,6528,DATTAG DATTAGALLI  MYSORE,CBIN0283548,CBIN0283548000
6529,26,MYSORE                                            ,4,Mysore,CBI,6529,MYSORE MYSORE(KARNATAKA),CBIN0280858,CBIN0280858000
6530,26,MYSORE                                            ,6,Nanjangud,CBI,6530,NANMYS  NANJANGUD,CBIN0282112,CBIN0282112000
6531,6,RAICHUR                                           ,3,Raichur,CBI,6531,RAICHU RAICHUR,CBIN0280868,CBIN0280868000
6532,6,RAICHUR                                           ,7,SIRAVARA,CBI,6532,SIRWAR SIRWAR,CBIN0280869,CBIN0280869000
6533,6,RAICHUR                                           ,3,Raichur,CBI,6533,XHKENG HKE SOCIETY ENGG COL CAMP RAICHUR,CBIN0283979,CBIN0283979000
6534,29,RAMANAGARA                                        ,4,Kanakpura,CBI,6534,KANAKA KANAKPURA,CBIN0283832,CBIN0283832000
6535,29,RAMANAGARA                                        ,2,Ramanagar,CBI,6535,RAMANA RAMA NAGARAM,CBIN0284481,CBIN0284481000
6536,15,SHIMOGA                                           ,6,shimoga,CBI,6536,SHIMOG SHIMOGA ( KARNATAKA ),CBIN0283553,CBIN0283553000
6537,18,TUMKUR                                            ,6,Tumkur,CBI,6537,TUMKUR TUMKUR (KARNATAKA),CBIN0283488,CBIN0283488000
6538,16,UDUPI                                             ,3,Karkala,CBI,6538,KARKAL KARKALA,CBIN0283152,CBIN0283152000
6539,16,UDUPI                                             ,2,UDUPI,CBI,6539,KINNIM KINNIMULKI,CBIN0283153,CBIN0283153000
6540,10,UTTARA KANNADA,12,DANDELI,CBI,6540,DANDEL DANDELI,CBIN0282168,CBIN0282168000
6541,10,UTTARA KANNADA,10,Honnavar,CBI,6541,HONAVA HONAVAR,CBIN0282543,CBIN0282543000
6542,10,UTTARA KANNADA,6,SIRSI,CBI,6542,SIRSI SIRSI  KARNATAKA),CBIN0283676,CBIN0283676000
6543,14,DAVANAGERE,4,davanagere,ALLAHABAD BANK,6543,DAVANGERE,ALLA0212730,ALLA0212730000
6544,9,DHARWAD,3,Hubli,ALLAHABAD BANK,6544,Hubli,ALLA0211945,ALLA0211945000
