BNK_ID,BNK_BHM_DC_CDE,BNK_BHM_DC_NME,BNK_BHM_TLK_CDE,BNK_BHM_TLK_NME,BNK_NME_EN,BNK_BRNCH_CDE,Bnk_Brnch_Nme_Eng
137,20,Bangalore Urban,371,Anekal,BRDCC Bank Ltd.,137,HENNAGARA VYAVASAYA SEVA SAHAKARA BYANK NI   
138,20,Bangalore Urban,371,Anekal,BRDCC Bank Ltd.,138,KASABA VYAVASAYA SEVA SAHAKARA BYANK NI   
139,20,Bangalore Urban,371,Anekal,BRDCC Bank Ltd.,139,DODDAHAGADE VYAVASAYA SEVA SAHAKARA BYANK NI   
140,20,Bangalore Urban,371,Anekal,BRDCC Bank Ltd.,140,CHIKKAHOSAHALLI VYAVASAYA SEVA SAHAKARA BYANK NI  
141,20,Bangalore Urban,371,Anekal,BRDCC Bank Ltd.,141,HARAGADDE VYAVASAYA SEVA SAHAKARA BYANK NI   
142,20,Bangalore Urban,371,Anekal,BRDCC Bank Ltd.,142,BANNERUGHATTA VYAVASAYA SEVA SAHAKARA BYANK NI   
143,20,Bangalore Urban,371,Anekal,BRDCC Bank Ltd.,143,JIGANI VYAVASAYA SEVA SAHAKARA BYANK NI   
144,20,Bangalore Urban,371,Anekal,BRDCC Bank Ltd.,144,GUDDATTI VYAVASAYA SEVA SAHAKARA BYANK NI   
145,20,Bangalore Urban,371,Anekal,BRDCC Bank Ltd.,145,MAYASANDRA VYAVASAYA SEVA SAHAKARA BYANK NI  
146,20,Bangalore Urban,371,Anekal,BRDCC Bank Ltd.,146,SAKALAVARA VYAVASAYA SEVA SAHAKARA BYANK NI  SAKALAVARA  
147,12,Bellary,28,BELLARY,Bellary DCCB,147,BALLARI RAITARA SEVA SAHAKARA SANGHA NIYAMITA   
148,12,Bellary,28,BELLARY,Bellary DCCB,148,MOKA RAITARA SEVA SAHAKARA SANGHA NIYAMITA   
149,12,Bellary,28,BELLARY,Bellary DCCB,149,KUDATINI RAITARA SEVA SAHAKARA SANGHA NIYAMITA   
150,12,Bellary,28,BELLARY,Bellary DCCB,150,B BELAGALLU PRATHAMIKA KRUSHI SAHAKARA SANGHA NIYAMITA   
151,12,Bellary,28,BELLARY,Bellary DCCB,151,SOMALAPURA PRRATHAMIKA KRUSHI SAHAKARA SANGHA NIYAMITA   
152,12,Bellary,28,BELLARY,Bellary DCCB,152,GENAKIHAL PRRATHAMIKA KRUSHI SAHAKARA SANGHA NIYAMITA   
153,12,Bellary,28,BELLARY,Bellary DCCB,153,KURUGODU PRATHAMIKA KRUSHI SAHAKARA SANGHA NIYAMITA   
154,12,Bellary,28,BELLARY,Bellary DCCB,154,KALLUKAMBA PRATHAMIKA KRUSHI SAHAKARA SANGHA NIYAMITA  
155,12,Bellary,28,BELLARY,Bellary DCCB,155,ORAVAYI PRATHAMIKA KRUSHI SAHAKARA SANGHA NIYAMITA   
156,12,Bellary,28,BELLARY,Bellary DCCB,156,EMMIGANURU PRATHAMIKA KRUSHI SAHAKARA SANGHA NIYAMITA   
157,12,Bellary,28,BELLARY,Bellary DCCB,157,BAILURU PRATHAMIKA KRUSHI SAHAKARA SANGHA NIYAMITA   
158,12,Bellary,28,BELLARY,Bellary DCCB,158,DAMMURU PRATHAMIKA KRUSHI SAHAKARA SANGHA NIYAMITA   
159,12,Bellary,28,BELLARY,Bellary DCCB,159,HANDIHAL PRATHAMIKA KRUSHI SAHAKARA SANGHA NIYAMITA   
160,12,Bellary,28,BELLARY,Bellary DCCB,160,KOLURU PRATHAMIKA KRUSHI SAHAKARA SANGHA NIYAMITA   
161,12,Bellary,28,BELLARY,Bellary DCCB,161,KORLAGUNDI PRATHAMIKA KRUSHI SAHAKARA SANGHA NIYAMITA   
162,12,Bellary,28,BELLARY,Bellary DCCB,162,SIDIGINAMOLA PRATHAMIKA KRUSHI SAHAKARA SANGHA NIYAMITA   
